id,teacher_id,student_id,ageinmonths,gender,ethnicity,homelang,specser,ppvt_under_85,grtr_under_13,grtr_under_11,grtr_under_8,site,anthro_test_1,anthro_test_2,anthro_1,anthro_2,anthro_3,anthro_4,anthro_5,anthro_6,anthro_7,anthro_8,anthro_9,anthro_10,anthro_11,anthro_12,anthro_13,anthro_14,anthro_15,anthro_16,anthro_total,anthro_resid,class_type,taxeco_1,taxeco_2,taxeco_3,taxeco_4,taxeco_5,taxeco_6,taxeco_7,taxeco_8,taxeco_9,taxeco_10,taxo_total,eco_total,anthro_proport,taxo_proport,eco_proport,taxo_major,eco_major,naive_thinking,class_child,class_sc_1,class_sc_2,class_sc_3,class_sc_4,class_is,ecers_ns,class_is_quart,filter_$,delete_child,anthro_notes,taxeco_notes,taxo_major_re,eco_major_re,tax_eco_major,anthro_test_total,anthro_test_total_RC,race_aa,preschool,preK,class_type_cent,class_is_cent,class_isXtype,class_isXpreschool,class_isXpreK,anthro_cent,anthro_sq,class_is_sq,class_quart_cent,class_quart_sq,age_cent,class_typeXage,exp_preschool,exp_preK,classis_quart_new,classis_quart_pres,classis_quart_prek,t_id_pub,class_child_pub,child_data_n_pub,class_cd,class_qf,class_lm,class_is_quart_pub,class_child_pub_new,class_child_data_pub_new,class_cd_pub_new,class_qf_pub_new,class_lm_pub_new,gender_new_f,genderXanthro,anthro_total_cent,genderXanthro_cent,eco_1,eco_2,eco_3,eco_4,eco_5,eco_6,eco_7,eco_8,eco_9,eco_10,eco_cent,genderXeco_cent,tax_1,tax_2,tax_3,tax_4,tax_5,tax_6,tax_7,tax_8,tax_9,tax_10,tax_total,tax_cent,gender_f,gender_fXtax_cent,gender_fXeco_cent,gender_fXanthro_cent,gender_fXanthro_total,gender_fXeco_total,gender_fXtax_total,PRE_1,PGR_1,PRE_2,PGR_2,PRE_3,PGR_3,PRE_4,PGR_4,PRE_5,PGR_5,PRE_6,PGR_6,PRE_7,PGR_7,PRE_8,PGR_8,PRE_9,PGR_9,PRE_10,PGR_10,PRE_11,PGR_11,PRE_12,PGR_12,PRE_13,PGR_13,PRE_14,PGR_14,PRE_15,PGR_15,PRE_16,PGR_16,PRE_17,PGR_17,PRE_18,PGR_18,PRE_19,PGR_19,PRE_20,PGR_20,PRE_21,PGR_21,PRE_22,PGR_22,PRE_23,PGR_23,PRE_24,PGR_24,PRE_25,PGR_25,PRE_26,PGR_26,PRE_27,PGR_27,PRE_28,PGR_28,PRE_29,PGR_29,PRE_30,PGR_30,PRE_31,PGR_31,PRE_32,PGR_32,PRE_33,PGR_33,PRE_34,PGR_34,PRE_35,PGR_35,PRE_36,PGR_36,tax_cons,eco_cons,taxeco_cons
1001,115,2017100575,52,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6.119021192,15,2,2,2,2,2,2,2,2,1,2,1,9,0.06,0.1,0.9,0,1,3,21,0,0,0,0,2.67,3,2,1,0, , ,0,2,2,2,1,1,1,0,0.25,-0.2987,-0.074675,-0.2987,0,-5.8346,45.6976,0.08922169,-0.58,0.3364,0.29,0.0725,-27.42,-3.42,2,3,1,101,13,10,1.25,2.25,1.25,1,21,6,2.25,2.5,3.25,0,0,-5.8346,0,1,1,1,1,1,1,1,1,0,1,3.83,0,0,0,0,0,0,0,0,0,1,0,1,-3.63,0,0,0,0,0,0,0,0.477794605,0,0.036214051,0,0.064396086,0,0.045530791,0,0.023102692,0,0.054827989,0,0.011667367,0,0.06100959,0,0.066780734,0,8.34088526049999E-05,0,0.037408998,0,0.073344301,0,0.033863537,0,0.059310948,0,0.022317545,0,0.120823854,0,0.117443657,0,0.179349796,0,0.172130357,0,0.008866667,0,0.144723856,0,0.013469327,0,0.097062472,0,0.031936498,0,0.15580935,0,0.591529228,1,0.944862536,1,0.89021115,1,0.811344781,1,0.991912949,1,0.855276144,1,0.987408204,1,0.902201108,1,0.968147486,1,0.898380982,1,0.408470772,0,0,2,2
1002,115,2017100574,53,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6.119021192,15,2,1,1,2,1,2,1,1,2,1,6,4,0.06,0.6,0.4,1,0,2,21,0,0,0,0,2.67,3,2,1,0, , ,1,0,1,2,1,1,1,0,0.25,-0.2987,-0.074675,-0.2987,0,-5.8346,45.6976,0.08922169,-0.58,0.3364,1.29,0.3225,-26.42,-2.42,2,3,1,101,13,10,1.25,2.25,1.25,1,21,6,2.25,2.5,3.25,0,0,-5.8346,0,1,0,0,1,0,1,0,0,1,0,-1.17,0,0,1,1,0,1,0,1,1,0,1,6,1.37,0,0,0,0,0,0,0,0.477794605,0,0.036214051,0,0.064396086,0,0.045530791,0,0.023102692,0,0.054827989,0,0.011667367,0,0.06100959,0,0.066780734,0,8.34088526049999E-05,0,0.037408998,0,0.073344301,0,0.033863537,0,0.059310948,0,0.022317545,0,0.120823854,0,0.550617284,1,0.51913148,1,0.838677627,1,0.345815598,0,0.776331292,1,0.562064692,1,0.63945978,1,0.231491479,0,0.78925308,1,0.878985362,1,0.461488049,0,0.493638822,0,0.193707736,0,0.666949376,1,0.223668708,0,0.445576568,0,0.370395557,0,0.775137207,1,0.19468027,0,0.121014638,0,3,3,6
1004,116,2018100463,33,2,1,1,2,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,-4.012998669,15,1,2,1,1,1,1,2,1,2,1,7,3,0.18,0.7,0.3,1,0,2,11,0,0,0,0,3.17,1,3,1,0, , ,1,0,1,2,1,1,1,0,0.25,0.2013,0.050325,0.2013,0,-3.8346,22.6576,0.04052169,0.42,0.1764,-18.71,-4.6775,-46.42,-22.42,3,3,3,102,12,10,2.5,2.25,2.75,3,11,10,3.25,3.25,3,1,3,-3.8346,-3.8346,0,1,0,0,0,0,1,0,1,0,-2.17,-2.17,1,0,1,1,1,1,0,1,0,1,7,2.37,1,2.37,-2.17,-3.8346,3,3,7,0.614945747,1,0.082037689,0,0.11704912,0,0.027741852,0,0.227386559,0,0.117143744,0,0.039869372,0,0.054068133,0,0.081810684,0,0.023219976,0,0.01622498,0,0.07648417,0,0.100211716,0,0.067753593,0,0.111707105,0,0.124478087,0,0.669166932,1,0.702540176,1,0.818161673,1,0.752761417,1,0.936831826,1,0.788739929,1,0.725657511,1,0.420040737,0,0.677132056,1,0.739101944,1,0.315190368,0,0.301349051,0,0.183968807,0,0.250102624,0,0.063416978,0,0.229654963,0,0.275168078,0,0.581025665,1,0.335402516,0,0.266038516,0,4,0,4
1005,116,2018100468,43,2,1,1,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.012998669,15,1,2,2,1,1,2,2,2,1,2,4,6,0,0.4,0.6,0,1,3,11,0,0,0,0,3.17,1,3,1,0, , ,0,2,2,2,1,1,1,0,0.25,0.2013,0.050325,0.2013,0,-6.8346,60.2176,0.04052169,0.42,0.1764,-8.71,-2.1775,-36.42,-12.42,3,3,3,102,12,10,2.5,2.25,2.75,3,11,10,3.25,3.25,3,1,0,-6.8346,-6.8346,0,1,1,0,0,1,1,1,0,1,0.83,0.83,1,0,0,1,1,0,0,0,1,0,4,-0.63,1,-0.63,0.83,-6.8346,0,6,4,0.507385454,1,0.026576674,0,0.041555692,0,0.004248348,0,0.090678605,0,0.038200318,0,0.008412956,0,0.01235208,0,0.024422187,0,0.004488722,0,0.002105615,0,0.019863084,0,0.025757229,0,0.010604605,0,0.04701339,0,0.034578223,0,0.378751987,0,0.432167625,0,0.354548346,0,0.365157944,0,0.414528795,0,0.176457498,0,0.427966112,0,0.177882058,0,0.397833318,0,0.523670337,1,0.632753161,1,0.571179092,1,0.650514022,1,0.639352904,1,0.59206216,1,0.812904916,1,0.573433804,1,0.823169498,1,0.602177,1,0.479064535,0,3,3,6
1006,116,2018100470,39,2,1,1,2,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,15,7.987001331,15,2,2,2,2,2,2,1,2,1,1,3,7,0.93,0.3,0.7,0,1,1,11,0,0,0,0,3.17,1,3,1,0, , ,0,2,2,1,1,1,1,0,0.25,0.2013,0.050325,0.2013,0,8.1654,52.4176,0.04052169,0.42,0.1764,-12.71,-3.1775,-40.42,-16.42,3,3,3,102,12,10,2.5,2.25,2.75,3,11,10,3.25,3.25,3,1,15,8.1654,8.1654,1,1,1,1,1,1,0,1,0,0,1.83,1.83,0,0,0,0,0,0,1,0,1,1,3,-1.63,1,-1.63,1.83,8.1654,15,7,3,0.902258353,1,0.911190041,1,0.920541582,1,0.982782731,1,0.957134302,1,0.942947905,1,0.959721702,1,0.961446033,1,0.934635226,1,0.948363609,1,0.984014117,1,0.958504789,1,0.972277823,1,0.993533446,1,0.841518146,1,0.972452555,1,0.29016045,0,0.3428788,0,0.214144577,0,0.248145694,0,0.204359437,0,0.076338914,0,0.329354519,0,0.126365663,0,0.310123384,0,0.44503162,0,0.727911009,1,0.659824433,1,0.79000596,1,0.755733798,1,0.801256268,1,0.913889875,1,0.672023751,1,0.874531349,1,0.68582573,1,0.556396664,1,0,4,4
1007,116,2018100472,45,1,1,1,2,2,2,2,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-5.012998669,15,1,2,2,1,2,1,1,2,1,1,6,4,0.12,0.6,0.4,1,0,2,11,0,0,0,0,3.17,1,3,1,0, , ,1,0,1,2,1,1,1,0,0.25,0.2013,0.050325,0.2013,0,-4.8346,33.1776,0.04052169,0.42,0.1764,-6.71,-1.6775,-34.42,-10.42,3,3,3,102,12,10,2.5,2.25,2.75,3,11,10,3.25,3.25,3,0,0,-4.8346,0,0,1,1,0,1,0,0,1,0,0,-1.17,0,1,0,0,1,0,1,1,0,1,1,6,1.37,0,0,0,0,0,0,0,0.497070081,0,0.052744097,0,0.091775331,0,0.071065051,0,0.036863838,0,0.076111996,0,0.028574405,0,0.084618958,0,0.103631107,0,0.000227936,0,0.059152994,0,0.12623416,0,0.056088895,0,0.084195215,0,0.036724621,0,0.162410611,0,0.550617284,1,0.51913148,1,0.838677627,1,0.345815598,0,0.776331292,1,0.562064692,1,0.63945978,1,0.231491479,0,0.78925308,1,0.878985362,1,0.461488049,0,0.493638822,0,0.193707736,0,0.666949376,1,0.223668708,0,0.445576568,0,0.370395557,0,0.775137207,1,0.19468027,0,0.121014638,0,3,3,6
1008,116,2018100473,46,2,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6.012998669,15,1,1,1,1,1,1,2,2,2,2,6,4,0.06,0.6,0.4,1,0,2,11,0,0,0,0,3.17,1,3,1,0, , ,1,0,1,2,1,1,1,0,0.25,0.2013,0.050325,0.2013,0,-5.8346,45.6976,0.04052169,0.42,0.1764,-5.71,-1.4275,-33.42,-9.42,3,3,3,102,12,10,2.5,2.25,2.75,3,11,10,3.25,3.25,3,1,1,-5.8346,-5.8346,0,0,0,0,0,0,1,1,1,1,-1.17,-1.17,1,1,1,1,1,1,0,0,0,0,6,1.37,1,1.37,-1.17,-5.8346,1,4,6,0.543823739,1,0.038958675,0,0.059203663,0,0.007974197,0,0.125140386,0,0.056046505,0,0.014200495,0,0.020332824,0,0.036814396,0,0.007786539,0,0.004170078,0,0.031383466,0,0.040950123,0,0.019883582,0,0.063135665,0,0.053667275,0,0.57558215,1,0.618206983,1,0.690600059,1,0.635969807,1,0.843263126,1,0.590182394,1,0.634541317,1,0.326221428,0,0.587970434,1,0.673880329,1,0.416791012,0,0.38579241,0,0.313022936,0,0.367910537,0,0.158312382,0,0.421364474,0,0.366542102,0,0.674947236,1,0.42123181,0,0.33082105,0,3,3,6
1009,116,2018100476,41,1,1,1,2,2,1,1,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,14,6.987001331,15,1,2,1,2,1,1,1,2,1,1,7,3,0.87,0.7,0.3,1,0,1,11,0,0,0,0,3.17,1,3,1,0, , ,1,0,1,2,1,1,1,0,0.25,0.2013,0.050325,0.2013,0,7.1654,38.9376,0.04052169,0.42,0.1764,-10.71,-2.6775,-38.42,-14.42,3,3,3,102,12,10,2.5,2.25,2.75,3,11,10,3.25,3.25,3,0,0,7.1654,0,0,1,0,1,0,0,0,1,0,0,-2.17,0,1,0,1,0,1,1,1,0,1,1,7,2.37,0,0,0,0,0,0,0,0.713859452,1,0.86194485,1,0.910172675,1,0.956786986,1,0.925163209,1,0.847223561,1,0.999406803,1,0.8641181,1,0.973377579,1,0.975379883,1,0.952849605,1,0.994964767,1,0.971009587,1,0.894653169,1,0.947257333,1,0.923481306,1,0.656372646,1,0.597732908,1,0.908231216,1,0.544464651,1,0.863964457,1,0.761007452,1,0.75651812,1,0.31917176,0,0.872412939,1,0.909320799,1,0.320066493,0,0.389571145,0,0.118881038,0,0.467901538,0,0.136035543,0,0.243298618,0,0.253315095,0,0.690446158,1,0.105294854,0,0.090679201,0,4,0,4
1010,116,2018100477,47,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,8.987001331,15,2,1,2,2,1,1,1,2,2,1,5,5,1,0.5,0.5,2,2,1,11,0,0,0,0,3.17,1,3,1,0, , ,3,3,3,2,1,1,1,0,0.25,0.2013,0.050325,0.2013,0,9.1654,67.8976,0.04052169,0.42,0.1764,-4.71,-1.1775,-32.42,-8.42,3,3,3,102,12,10,2.5,2.25,2.75,3,11,10,3.25,3.25,3,1,16,9.1654,9.1654,1,0,1,1,0,0,0,1,1,0,-0.17,-0.17,0,1,0,0,1,1,1,0,0,1,5,0.37,1,0.37,-0.17,9.1654,16,5,5,0.914415049,1,0.938400431,1,0.943867033,1,0.990787189,1,0.969722988,1,0.961101094,1,0.975877409,1,0.976406433,1,0.956200849,1,0.969665279,1,0.991880487,1,0.973636005,1,0.982651795,1,0.996573054,1,0.878839184,1,0.982423534,1,0.476244738,0,0.526092772,1,0.525455538,1,0.500608503,1,0.661216044,1,0.357115036,0,0.532652831,1,0.244522228,0,0.492635581,0,0.601152656,1,0.525987252,1,0.477718504,0,0.479421004,0,0.503920612,1,0.343176382,0,0.640126054,1,0.468640566,0,0.756633184,1,0.512100824,1,0.40272291,0,3,3,6
1011,116,2018100480,40,2,1,1,2,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6.012998669,15,2,1,1,1,2,1,2,2,2,1,5,5,0.06,0.5,0.5,2,2,6,11,0,0,0,0,3.17,1,3,1,0, , ,3,3,3,2,1,1,1,0,0.25,0.2013,0.050325,0.2013,0,-5.8346,45.6976,0.04052169,0.42,0.1764,-11.71,-2.9275,-39.42,-15.42,3,3,3,102,12,10,2.5,2.25,2.75,3,11,10,3.25,3.25,3,1,1,-5.8346,-5.8346,1,0,0,0,1,0,1,1,1,0,-0.17,-0.17,0,1,1,1,0,1,0,0,0,1,5,0.37,1,0.37,-0.17,-5.8346,1,5,5,0.543823739,1,0.038958675,0,0.059203663,0,0.007974197,0,0.125140386,0,0.056046505,0,0.014200495,0,0.020332824,0,0.036814396,0,0.007786539,0,0.004170078,0,0.031383466,0,0.040950123,0,0.019883582,0,0.063135665,0,0.053667275,0,0.476244738,0,0.526092772,1,0.525455538,1,0.500608503,1,0.661216044,1,0.357115036,0,0.532652831,1,0.244522228,0,0.492635581,0,0.601152656,1,0.525987252,1,0.477718504,0,0.479421004,0,0.503920612,1,0.343176382,0,0.640126054,1,0.468640566,0,0.756633184,1,0.512100824,1,0.40272291,0,3,3,6
